GeneID,GSM1580869,GSM1580870,GSM1580871,GSM1580872,GSM1580873,GSM1580874,GSM1580875,GSM1580876,GSM1580877,GSM1580878,GSM1580879,GSM1580880,GSM1580881,GSM1580882,GSM1580883,GSM1580884,GSM1580885,GSM1580886,GSM1580887,GSM1580888,GSM1580889,GSM1580890,GSM1580891,GSM1580892,GSM1580893,GSM1580894,GSM1580895,GSM1580896,GSM1580897,GSM1580898,GSM1580899,GSM1580900,GSM1580901,GSM1580902,GSM1580903,GSM1580904,GSM1580905,GSM1580906,GSM1580907,GSM1580908,GSM1580909,GSM1580910,GSM1580911,GSM1580912,GSM1580913,GSM1580914,GSM1580915,GSM1580916,GSM1580917,GSM1580918,GSM1580919,GSM1580920,GSM1580921,GSM1580922,GSM1580923,GSM1580924,GSM1580925,GSM1580926,GSM1580927,GSM1580928,GSM1580929,GSM1580930,GSM1580931,GSM1580932,GSM1580933,GSM1580934,GSM1580935,GSM1580936,GSM1580937
100287102,0.3092,0.07989,0.07335,0.1641,0.1541,0.08406,0.3105,0.2072,0.1324,0.1078,0.06195,0.1182,0.1134,0.1031,0.2341,0.08883,0.1787,0.1135,0.1743,0.1312,0.346,0.1352,0.1487,0.1002,0.1272,0.07416,0.0199,0.05787,0.08663,0.2175,0.155,0.04569,0.1482,0.06473,0.1391,0.2319,0.2174,0.08187,0.08787,0.07876,0.319,0.2066,0.08319,0.04622,0.05026,0.1322,0.1083,0.1168,0.07062,0.2374,0.04019,0.1931,0.1488,0.1585,0.07268,0.1341,0.1547,0.1052,0.3081,0.05677,0.09687,0.09,0.09512,0.0705,0.09814,0.1225,0.2487,0.1069,0.3051
653635,28.02,34.66,16.37,22.81,21.65,22.59,36.13,35.43,18.95,25.54,19.86,30.18,16.86,18.12,24.72,26.41,21.2,13.94,32.25,24.49,36.52,20.35,27.65,26.86,19.5,19.67,12.49,17.73,13.19,23.2,16.37,13.53,23.27,8.553,20.95,23.21,24.94,9.801,13.8,17.66,24.1,21.27,13.65,12.63,11.69,9.879,15.71,10.05,9.793,37.9,15.13,31.63,16.7,28.9,18.05,17.37,11.87,15.52,20.3,13.24,13.05,17.43,14.38,21.5,12.05,13.04,13.14,17.43,18.89
102466751,31.43,51.44,28.51,32.78,31.03,38.8,23.64,55.37,23.24,18.04,28.97,44.8,18.19,20.53,40.29,32.37,30.39,10.24,31.76,29.15,38.2,17.52,33.71,26.29,16.99,20.72,14.5,15.93,10.52,22.2,19.36,11.65,24.75,8.255,28.03,17.56,38.37,8.353,12.5,23.51,23.02,25.48,19.2,10.86,12.21,12.05,12.63,6.081,12.44,25.73,11.23,23.89,17.68,23.96,21.19,24.19,15.03,18.9,17.88,9.195,10.46,13.6,19.64,36.4,9.537,18.28,22.66,14.93,12.44
107985730,0.211,0.368,0.2816,0.168,0.2705,0.3227,0.1271,0.4948,0.1808,0.2574,0.1902,0.1452,0.3832,0.2532,0.2995,0.2728,0.2743,0.3484,0.2676,0.2878,0.1931,0.2076,0.6087,0.1846,0.06509,0.2277,0.1222,0.2961,0.133,0.334,0.4079,0.1403,0.1138,0.1987,0.1005,0.08378,0.267,0.3519,0.2313,0.2418,0.2017,0.244,0.08515,0.2839,0.2058,0.2538,0.2993,0.1025,0.2711,0.2243,0.1234,0.2157,0.1016,0.1623,0.3719,0.05881,0,0.06458,0.1051,0.4068,0.3305,0.2763,0.09736,0.1624,0.1507,0.2149,0.2387,0.1231,0.1004
100302278,0.1371,0.4782,0.2195,0,0,0.5032,0.2478,0.5512,0.1762,0.1433,0,0,0.1358,0,0.2336,0.2127,0.1528,0,0,0.2244,0.1882,0.2698,0.2966,0,0,0.2219,0.2382,0.9236,0.2593,0.5208,0.265,0.2735,0,0.1937,0.1959,0.6532,0.6939,0.196,0,0.5388,0.337,0.5707,0,0.1845,0.2006,0,0,0,0.2113,0.8745,0.4811,0.4204,0,0.2109,0.58,0.2293,0,0.2518,0,0.2266,0.1288,0,0.3796,0.211,0,0.2095,0.1861,0.6399,0.2609
645520,0.06696,0.1168,0.4022,0.02666,0.06438,0,0.03027,0.03365,0.04303,0.0175,0.04528,0.06912,0.03317,0,0.02852,0.02597,0.01866,0.04739,0.0637,0.08223,0.2989,0,0.03623,0.0293,0.03099,0,0,0.0564,0.03166,0.0636,0.06473,0,0,0.02366,0.04785,0.09971,0.08474,0,0.0367,0.04935,0.04115,0.04646,0.06081,0,0.02449,0.04833,0.01583,0.02439,0.02581,0.2136,0,0.1284,0.09671,0.0515,0.1063,0.14,0.06462,0.06149,0.05005,0.02767,0.01574,0.1023,0,0.02577,0.04782,0.07675,0.04546,0.09768,0.1752
79501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308,0,0,0,0,0,0,0,0.02798,0,0
100996442,0.8658,1.133,0.9224,1.296,1.085,1.171,0.8386,1.298,0.5117,0.9862,1.208,1.405,1.038,1.051,1.199,1.205,1.073,0.6839,1.155,0.9176,0.8281,0.7987,0.8448,1.035,0.415,0.3692,0.8194,0.9311,0.7311,0.8004,0.9192,0.7711,1.438,1.895,0.5966,0.4006,1.438,1.21,1.114,0.6988,0.4972,0.7403,0.6272,0.8998,0.9728,0.3962,0.5995,0.7885,0.6079,0.4685,0.6851,0.6283,0.8653,0.5886,0.7278,1.299,0.8953,0.8235,0.6875,1.112,0.574,0.638,1.033,0.9757,0.784,1.105,0.9603,0.5909,0.548
729737,2.713,5.377,3.658,4.056,2.738,4.008,3.155,4.384,4.286,2.193,2.762,3.068,2.03,2.669,4.981,2.086,4.206,1.776,3.287,2.059,3.64,3.142,3.724,2.014,3.48,1.606,2.252,0.9547,2.079,2.632,0.8886,0.7239,2.857,1.802,2.857,3.298,4.588,1.576,1.75,1.596,1.877,2.326,1.448,0.9486,0.9,1.691,1.262,1.752,1.135,1.576,2.383,2.247,1.822,2.796,4.877,0.9479,1.034,2.183,2.448,1.742,1.608,2.07,1.225,0.9362,1.787,2.065,0.7131,1.899,0.6544
102725121,0.4002,0.04107,0.0377,0.2718,0.3169,0.06481,0.4256,0.2367,0.1513,0.06154,0.01592,0.1701,0.1399,0.06357,0.3209,0.09132,0.2493,0.09997,0.2016,0.2313,0.291,0.1158,0.07642,0.309,0.02179,0,0.02046,0.07932,0.08906,0.2683,0.1138,0.02348,0.05713,0.03327,0.1851,0.1402,0.1341,0.05049,0.09033,0.0347,0.4533,0.04901,0.05702,0.04752,0.01722,0.08496,0.04453,0.1029,0.127,0.0751,0.02066,0.1625,0.204,0.1086,0.0249,0.09844,0.2045,0.1297,0.2815,0,0.06639,0.03084,0.04889,0.03624,0.2186,0.07195,0.4155,0.09616,0.4704
